Jahr,Erdgas,Waerme,Fluessiggas,Heizoel,Holzpellets,Strom
2002,240,244,234,310,40,500
2003,240,244,234,310,40,500
2004,240,244,234,310,40,500
2005,240,244,234,310,40,500
2006,240,244,234,310,40,500
2007,240,244,234,310,40,500
2008,240,244,234,310,40,500
2009,240,244,234,310,40,500
2010,240,244,234,310,40,500
2011,240,244,234,310,40,500
2012,240,244,234,310,40,500
2013,240,244,234,310,40,500
2014,240,244,234,310,40,500
2015,240,244,234,310,40,500
2016,240,244,234,310,40,500
2017,240,244,234,310,40,500
2018,240,244,234,310,40,500
