Date;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen;
31.12.2002; 255.533 ; 335.993 ; 18.540 ; 52.941 ; 11.236 ; 17.638 ; 151.709 ; 30.303 ; 232.766 ; 361.483 ; 129.282 ; 36.869 ; 60.790 ; 49.751 ; 73.684 ; 49.015 ;
31.12.03; 258.663 ; 340.120 ; 18.926 ; 54.301 ; 11.413 ; 17.945 ; 153.648 ; 31.052 ; 236.877 ; 367.977 ; 131.333 ; 37.168 ; 61.939 ; 50.376 ; 75.140 ; 49.527 ;
31.12.04; 261.730 ; 344.180 ; 19.309 ; 55.635 ; 11.588 ; 18.251 ; 155.547 ; 31.787 ; 240.916 ; 374.306 ; 133.322 ; 37.457 ; 63.077 ; 50.984 ; 76.579 ; 50.029 ;
31.12.05; 264.734 ; 348.173 ; 19.689 ; 56.943 ; 11.762 ; 18.557 ; 157.405 ; 32.508 ; 244.884 ; 380.469 ; 135.250 ; 37.738 ; 64.204 ; 51.574 ; 78.001 ; 50.522 ;
31.12.06; 267.676 ; 352.098 ; 20.065 ; 58.225 ; 11.936 ; 18.862 ; 159.223 ; 33.216 ; 248.780 ; 386.467 ; 137.118 ; 38.011 ; 65.320 ; 52.147 ; 79.405 ; 51.005 ;
31.12.2007; 270.555 ; 355.956 ; 20.439 ; 59.480 ; 12.108 ; 19.167 ; 161.001 ; 33.911 ; 252.605 ; 392.299 ; 138.924 ; 38.275 ; 66.424 ; 52.703 ; 80.791 ; 51.479 ;
31.12.2008; 273.371 ; 359.747 ; 20.810 ; 60.710 ; 12.280 ; 19.471 ; 162.739 ; 34.591 ; 256.358 ; 397.966 ; 140.669 ; 38.531 ; 67.518 ; 53.241 ; 82.160 ; 51.943 ;
31.12.2009; 276.125 ; 363.471 ; 21.178 ; 61.913 ; 12.450 ; 19.774 ; 164.436 ; 35.259 ; 260.041 ; 403.468 ; 142.353 ; 38.778 ; 68.600 ; 53.762 ; 83.512 ; 52.398 ;
31.12.2010; 278.816 ; 367.127 ; 21.543 ; 63.089 ; 12.620 ; 20.077 ; 166.093 ; 35.912 ; 263.651 ; 408.804 ; 143.976 ; 39.016 ; 69.672 ; 54.266 ; 84.847 ; 52.844 ;
31.12.2011; 281.445 ; 370.716 ; 21.905 ; 64.240 ; 12.789 ; 20.379 ; 167.710 ; 36.552 ; 267.191 ; 413.975 ; 145.538 ; 39.246 ; 70.732 ; 54.752 ; 86.163 ; 53.280 ;
31.12.2012; 284.011 ; 374.238 ; 22.264 ; 65.365 ; 12.956 ; 20.680 ; 169.287 ; 37.179 ; 270.659 ; 418.980 ; 147.039 ; 39.468 ; 71.781 ; 55.221 ; 87.463 ; 53.707 ;
31.12.2013; 286.514 ; 377.693 ; 22.620 ; 66.463 ; 13.123 ; 20.981 ; 170.823 ; 37.792 ; 274.055 ; 423.820 ; 148.479 ; 39.681 ; 72.819 ; 55.673 ; 88.745 ; 54.124 ;
31.12.2014; 288.955 ; 381.081 ; 22.973 ; 67.535 ; 13.288 ; 21.281 ; 172.319 ; 38.391 ; 277.381 ; 428.495 ; 149.857 ; 39.886 ; 73.847 ; 56.107 ; 90.010 ; 54.532 ;
31.12.2015; 291.333 ; 384.401 ; 23.323 ; 68.581 ; 13.453 ; 21.580 ; 173.775 ; 38.977 ; 280.634 ; 433.004 ; 151.175 ; 40.082 ; 74.863 ; 56.524 ; 91.257 ; 54.930 ;
31.12.2016; 293.649 ; 387.654 ; 23.670 ; 69.601 ; 13.617 ; 21.879 ; 175.191 ; 39.549 ; 283.817 ; 437.348 ; 152.432 ; 40.270 ; 75.868 ; 56.924 ; 92.487 ; 55.319 ;
31.12.2017; 295.901 ; 390.840 ; 24.014 ; 70.594 ; 13.780 ; 22.177 ; 176.566 ; 40.108 ; 286.928 ; 441.526 ; 153.627 ; 40.449 ; 76.862 ; 57.306 ; 93.700 ; 55.698 ;
31.12.2018; 298.092 ; 393.959 ; 24.355 ; 71.561 ; 13.942 ; 22.474 ; 177.902 ; 40.653 ; 289.968 ; 445.540 ; 154.761 ; 40.619 ; 77.844 ; 57.671 ; 94.895 ; 56.068 ;
